1 12 [798, 489]
1 18 [145, 817]
1 30 [629, 880]
1 42 [455, 996]
2 40 [179, 813]
2 54 [737, 234]
2 59 [194, 552]
2 132 [699, 631]
3 44 [658, 869]
4 62 [307, 939]
4 83 [370, 729]
4 103 [736, 861]
5 42 [131, 979]
6 112 [243, 115]
6 123 [438, 412]
7 76 [138, 922]
8 7 [427, 219]
8 87 [905, 323]
9 21 [989, 109]
9 80 [172, 685]
12 61 [751, 583]
12 71 [886, 871]
12 107 [922, 370]
13 9 [923, 60]
13 45 [471, 645]
14 52 [543, 536]
15 36 [426, 238]
15 73 [203, 899]
16 64 [312, 75]
16 114 [795, 802]
17 105 [415, 772]
17 124 [168, 283]
18 82 [789, 571]
18 88 [942, 272]
19 34 [94, 254]
20 14 [897, 105]
20 27 [966, 771]
20 58 [40, 223]
20 99 [566, 123]
20 119 [676, 765]
21 36 [455, 429]
21 97 [53, 975]
22 32 [353, 674]
22 49 [967, 142]
22 83 [71, 619]
24 44 [684, 636]
24 102 [424, 472]
25 3 [746, 693]
25 113 [832, 710]
25 135 [181, 888]
27 49 [99, 666]
27 99 [324, 179]
28 26 [59, 442]
28 86 [974, 328]
29 113 [437, 682]
29 126 [235, 321]
29 135 [678, 726]
30 29 [5, 570]
30 60 [23, 828]
30 103 [392, 558]
31 67 [893, 647]
31 120 [345, 290]
32 80 [59, 892]
33 135 [290, 285]
34 89 [605, 399]
35 71 [192, 770]
35 93 [329, 87]
35 130 [328, 336]
36 66 [459, 254]
37 63 [512, 516]
38 49 [763, 291]
38 116 [676, 722]
39 41 [436, 910]
39 55 [614, 486]
39 72 [278, 184]
39 78 [747, 389]
39 127 [576, 749]
41 85 [259, 99]
42 105 [867, 306]
42 116 [545, 610]
42 119 [918, 539]
44 51 [53, 357]
44 67 [850, 458]
44 88 [168, 310]
45 121 [26, 781]
46 12 [604, 312]
47 6 [109, 422]
47 107 [125, 889]
47 125 [972, 717]
48 108 [966, 37]
48 121 [46, 902]
49 21 [804, 831]
50 12 [474, 211]
50 110 [19, 739]
50 129 [936, 528]
51 69 [223, 478]
52 85 [839, 156]
52 105 [500, 807]
53 18 [794, 882]
54 102 [707, 409]
55 32 [528, 267]
55 51 [556, 369]
56 18 [852, 387]
56 27 [507, 808]
56 70 [957, 354]
57 16 [471, 910]
57 36 [169, 952]
57 60 [499, 832]
57 109 [161, 401]
58 53 [643, 144]
58 80 [159, 979]
58 100 [308, 824]
59 83 [296, 582]
60 55 [332, 74]
61 74 [127, 899]
61 129 [254, 399]
63 37 [756, 100]
64 121 [919, 192]
65 83 [567, 298]
65 106 [582, 545]
66 55 [186, 504]
66 118 [539, 610]
67 46 [192, 50]
68 12 [887, 802]
68 69 [243, 785]
68 103 [877, 577]
69 19 [76, 561]
69 76 [541, 999]
69 113 [965, 287]
69 124 [523, 221]
70 65 [96, 272]
70 72 [142, 372]
70 86 [530, 652]
71 6 [412, 110]
71 61 [52, 305]
71 62 [492, 578]
71 73 [773, 100]
73 89 [60, 982]
74 79 [958, 203]
75 37 [585, 170]
75 118 [268, 179]
76 70 [26, 458]
78 5 [474, 696]
78 73 [631, 202]
78 127 [982, 692]
79 16 [235, 55]
79 105 [43, 865]
79 132 [278, 317]
80 11 [222, 604]
80 64 [55, 89]
81 54 [844, 417]
81 115 [27, 614]
81 121 [718, 443]
82 38 [995, 940]
82 102 [771, 194]
82 135 [589, 872]
83 25 [678, 215]
83 91 [811, 305]
84 36 [622, 671]
85 6 [90, 832]
85 18 [587, 271]
85 44 [322, 228]
86 132 [223, 462]
87 21 [828, 182]
87 118 [255, 143]
88 50 [357, 321]
89 33 [88, 693]
89 45 [865, 188]
89 86 [428, 339]
89 129 [552, 416]
90 23 [425, 76]
90 30 [894, 801]
90 90 [166, 967]
91 17 [384, 875]
91 69 [281, 135]
91 76 [191, 162]
91 116 [490, 688]
92 101 [595, 554]
92 136 [919, 454]
93 8 [702, 693]
93 127 [437, 535]
94 123 [755, 383]
95 13 [341, 253]
95 16 [302, 502]
95 40 [330, 990]
95 89 [779, 338]
96 6 [158, 241]
96 36 [856, 345]
97 64 [413, 502]
98 29 [986, 124]
98 103 [276, 616]
98 136 [469, 724]
99 95 [232, 498]
100 77 [564, 107]
100 112 [661, 109]
100 120 [10, 432]
100 133 [429, 423]
101 126 [410, 392]
102 4 [348, 826]
103 31 [283, 988]
103 45 [800, 241]
104 21 [755, 227]
105 88 [162, 218]
105 111 [743, 543]
106 8 [32, 106]
106 28 [585, 260]
106 54 [262, 912]
106 92 [509, 503]
106 130 [144, 481]
107 19 [467, 593]
107 81 [973, 776]
108 72 [383, 133]
109 38 [422, 851]
110 122 [824, 396]
112 24 [557, 359]
112 31 [782, 212]
112 113 [252, 618]
113 102 [169, 282]
114 16 [271, 96]
114 77 [803, 501]
114 91 [460, 770]
114 121 [98, 208]
115 47 [804, 462]
116 67 [143, 228]
116 81 [716, 484]
116 129 [497, 880]
117 25 [835, 444]
118 100 [247, 901]
119 14 [541, 299]
119 39 [122, 965]
119 63 [505, 656]
119 78 [14, 824]
119 105 [210, 383]
119 123 [150, 948]
120 52 [156, 456]
121 100 [840, 585]
121 118 [249, 229]
122 135 [452, 856]
123 3 [746, 698]
123 21 [953, 943]
123 108 [641, 994]
124 124 [815, 206]
126 56 [571, 649]
126 100 [876, 634]
126 132 [754, 113]
127 34 [597, 18]
127 65 [776, 321]
127 113 [266, 194]
127 124 [225, 334]
128 23 [353, 627]
128 74 [719, 204]
128 82 [212, 247]
128 94 [578, 311]
129 129 [679, 265]
130 51 [290, 929]
130 91 [574, 908]
131 64 [38, 419]
132 47 [965, 793]
132 86 [869, 85]
132 98 [753, 280]
133 12 [403, 654]
133 80 [868, 631]
135 12 [73, 212]
136 27 [105, 178]
136 85 [37, 222]
136 113 [75, 448]
137 43 [358, 947]
137 116 [22, 14]
137 130 [512, 683]
138 69 [98, 829]
138 101 [235, 75]
61411574
